student_id,name,department,course, electives,year,semester,faculty
S00107,Vihaan Sharma,Biotechnology,PhD," Cloud Computing,Philosophy ",2,7,Amit Krishnan
S00108,Ananya Malhotra,Mechanical,B.Sc," AI & ML,Psychology ",2,4,Shilpa Yadav
S00109,Sai Kulkarni,Management,B.Tech," Entrepreneurship,IoT ",4,8,Meera Iyer
S00110,Shaurya Mehta,Civil,PhD," Data Science,History ",5,8,Harish Reddy
S00111,Ananya Iyer,Computer Science,M.Tech," Digital Marketing,Econometrics ",2,5,Ravi Desai
S00112,Navya Verma,Humanities,PhD," English Literature,History ",4,4,Ashok Sharma
S00113,Pari Gupta,Economics,B.Sc," Psychology,Philosophy ",3,2,Ajay Sharma
S00114,Reyansh Joshi,Civil,B.Tech," Cyber Security,Psychology ",2,5,Deepak Verma
S00115,Shaurya Reddy,Biotechnology,B.Sc," Data Science,AI & ML ",3,7,Sunita Verma
S00116,Aditya Sharma,Economics,MBA," Econometrics,Entrepreneurship ",3,5,Priya Verma
S00117,Aarohi Singh,Mechanical,M.Tech," Cloud Computing,History ",1,7,Sneha Krishnan
S00118,Aditya Patil,Computer Science,M.Tech," Cloud Computing,AI & ML ",4,3,Sunita Mehta
S00119,Vihaan Nair,Biotechnology,MBA," Econometrics,Digital Marketing ",2,5,Suresh Kulkarni
S00120,Sai Malhotra,Computer Science,BBA," English Literature,Psychology ",3,5,Smita Mehta
S00121,Pari Sharma,Computer Science,M.Sc," Data Science,Psychology ",3,2,Shilpa Menon
S00122,Aditya Menon,Humanities,M.Tech," AI & ML,Psychology ",1,3,Smita Mehta
S00123,Ishaan Kapoor,Mechanical,B.Sc," Entrepreneurship,Robotics ",2,4,Shilpa Mehta
S00124,Aditi Rao,Biotechnology,M.Tech," AI & ML,IoT ",4,8,Meenakshi Verma
S00125,Ananya Desai,Civil,B.Sc," Cloud Computing,AI & ML ",4,3,Ajay Krishnan
S00126,Diya Patil,Management,MBA," Digital Marketing,Psychology ",1,2,Deepak Joshi
S00127,Anika Reddy,Management,MBA," Robotics,Cyber Security ",2,8,Smita Mehta
S00128,Ira Menon,Humanities,B.Sc," Cyber Security,Digital Marketing ",3,7,Harish Reddy
S00129,Diya Kulkarni,Electrical,BBA," English Literature,AI & ML ",4,3,Suresh Kulkarni
S00130,Shaurya Kulkarni,Electrical,B.Tech," Robotics,English Literature ",1,3,Ravi Desai
S00131,Diya Mehta,Electrical,M.Sc," Econometrics,Digital Marketing ",2,6,Sunita Malhotra
S00132,Navya Gupta,Computer Science,M.Sc," Econometrics,Entrepreneurship ",4,3,Monica Malhotra
S00133,Krishna Verma,Mechanical,M.Tech," Psychology,IoT ",1,1,Vivek Joshi
S00134,Sai Gupta,Civil,M.Tech," Digital Marketing,AI & ML ",4,7,Divya Saxena
S00135,Sai Kapoor,Civil,B.Tech," IoT,Entrepreneurship ",1,5,Alok Sharma
S00136,Aditya Menon,Electrical,B.Tech," AI & ML,Psychology ",3,3,Sneha Krishnan
S00137,Aditi Malhotra,Computer Science,BBA," Environmental Science,AI & ML ",2,2,Ajay Krishnan
S00138,Sai Sharma,Civil,PhD," Entrepreneurship,History ",2,9,Monica Yadav
S00139,Aditya Desai,Humanities,B.Sc," AI & ML,Entrepreneurship ",4,8,Shilpa Joshi
S00140,Aditya Mehta,Civil,BBA," Environmental Science,Cloud Computing ",1,7,Divya Saxena
S00141,Myra Joshi,Mechanical,BBA," Digital Marketing,English Literature ",3,2,Deepak Joshi
S00142,Vivaan Singh,Biotechnology,M.Sc," Data Science,Environmental Science ",3,6,Meera Iyer
S00143,Aarohi Yadav,Computer Science,B.Tech," Psychology,Digital Marketing ",2,7,Deepak Verma
S00144,Pari Saxena,Management,B.Sc," Robotics,English Literature ",4,4,Shilpa Mehta
S00145,Aarohi Kapoor,Biotechnology,M.Sc," Entrepreneurship,Data Science ",3,4,Pooja Reddy
S00146,Aditya Joshi,Economics,M.Sc," Psychology,Digital Marketing ",1,8,Anjali Reddy
S00147,Sai Saxena,Humanities,MBA," AI & ML,English Literature ",1,5,Arjun Saxena
S00148,Pari Malhotra,Biotechnology,M.Tech," Digital Marketing,IoT ",2,2,Vivek Joshi
S00149,Arjun Yadav,Civil,B.Tech," Digital Marketing,English Literature ",4,8,Shilpa Joshi
S00150,Reyansh Menon,Mechanical,B.Tech," Robotics,English Literature ",4,5,Kiran Patil
S00151,Vivaan Gupta,Humanities,B.Tech," Cyber Security,Philosophy ",1,4,Priya Babu
S00152,Pari Krishnan,Economics,B.Tech," History,Digital Marketing ",1,5,Meenakshi Verma
S00153,Aarav Menon,Biotechnology,M.Tech," IoT,Digital Marketing ",3,6,Kiran Patil
S00154,Ananya Rao,Electrical,B.Sc," Environmental Science,Robotics ",1,7,Shilpa Yadav
S00155,Vivaan Joshi,Economics,M.Sc," History,Robotics ",2,6,Meera Gupta
S00156,Pari Mehta,Management,PhD," IoT,English Literature ",3,4,Deepak Verma
S00157,Aditi Malhotra,Management,MBA," English Literature,Psychology ",3,6,Anjali Reddy
S00158,Myra Nair,Management,B.Tech," Cloud Computing,History ",1,3,Kiran Sharma
S00159,Vivaan Mehta,Mechanical,M.Sc," AI & ML,Data Science ",2,4,Kavita Menon
S00160,Aditi Reddy,Civil,B.Tech," History,Cloud Computing ",1,1,Sunita Mehta
S00161,Myra Mehta,Economics,M.Tech," Econometrics,Data Science ",2,4,Ravi Desai
S00162,Sai Verma,Management,B.Tech," Environmental Science,Econometrics ",2,2,Kavita Gupta
S00163,Anika Singh,Management,PhD," Entrepreneurship,Digital Marketing ",5,1,Rohini Krishnan
S00164,Aarav Malhotra,Humanities,MBA," Philosophy,Psychology ",3,1,Kavya Patil
S00165,Riya Menon,Computer Science,MBA," Econometrics,Entrepreneurship ",3,6,Swati Joshi
S00166,Aditi Babu,Computer Science,B.Sc," Digital Marketing,IoT ",4,1,Anjali Patil
S00167,Aditi Sharma,Humanities,BBA," Cloud Computing,Econometrics ",2,7,Ajay Krishnan
S00168,Pari Yadav,Humanities,M.Sc," Digital Marketing,Cloud Computing ",3,6,Varun Verma
S00169,Riya Desai,Management,B.Sc," Digital Marketing,Psychology ",3,7,Anjali Reddy
S00170,Reyansh Yadav,Computer Science,M.Tech," Philosophy,English Literature ",2,6,Sneha Patil
S00171,Riya Kulkarni,Biotechnology,M.Sc," Robotics,Data Science ",3,2,Shilpa Menon
S00172,Riya Reddy,Management,PhD," Psychology,Robotics ",1,8,Shilpa Menon
S00173,Aditya Menon,Economics,PhD," Digital Marketing,IoT ",1,1,Pallavi Kapoor
S00174,Riya Rao,Biotechnology,M.Sc," Data Science,Psychology ",2,3,Shilpa Mehta
S00175,Reyansh Babu,Management,BBA," Data Science,Cloud Computing ",1,1,Meera Gupta
S00176,Riya Kapoor,Humanities,BBA," Econometrics,Data Science ",2,6,Swati Joshi
S00177,Ananya Iyer,Economics,M.Sc," Robotics,Philosophy ",4,4,Shilpa Menon
S00178,Sai Gupta,Biotechnology,MBA," Psychology,Robotics ",3,4,Anita Singh
S00179,Aditya Mehta,Biotechnology,BBA," Cloud Computing,Data Science ",2,1,Kiran Patil
S00180,Pari Iyer,Civil,BBA," Data Science,Econometrics ",4,7,Sunita Malhotra
S00181,Aditya Joshi,Management,PhD," Philosophy,Robotics ",4,2,Vivek Joshi
S00182,Reyansh Singh,Humanities,PhD," Environmental Science,English Literature ",2,7,Vivek Menon
S00183,Diya Rao,Economics,BBA," Data Science,Cloud Computing ",4,5,Manish Malhotra
S00184,Arjun Saxena,Humanities,M.Sc," Psychology,Environmental Science ",3,1,Kiran Sharma
S00185,Myra Krishnan,Electrical,B.Sc," Robotics,Environmental Science ",3,7,Sunita Malhotra
S00186,Anika Babu,Electrical,B.Tech," AI & ML,English Literature ",3,4,Pooja Reddy
S00187,Ira Gupta,Computer Science,M.Tech," Philosophy,Psychology ",2,8,Ajay Krishnan
S00188,Aditya Saxena,Electrical,MBA," English Literature,Data Science ",3,8,Anjali Patil
S00189,Aditya Iyer,Management,M.Tech," Cloud Computing,AI & ML ",2,1,Meenakshi Kulkarni
S00190,Vihaan Joshi,Humanities,MBA," Data Science,Robotics ",1,2,Ajay Saxena
S00191,Riya Kapoor,Humanities,PhD," Cloud Computing,Entrepreneurship ",5,7,Pooja Reddy
S00192,Aditya Desai,Civil,B.Tech," English Literature,Cyber Security ",3,2,Amit Gupta
S00193,Vivaan Rao,Economics,BBA," Cloud Computing,History ",2,7,Smita Mehta
S00194,Diya Singh,Civil,B.Sc," Digital Marketing,Philosophy ",4,3,Kiran Sharma
S00195,Ishaan Singh,Computer Science,PhD," Digital Marketing,English Literature ",4,6,Sunita Verma
S00196,Anika Babu,Mechanical,MBA," Entrepreneurship,History ",2,2,Sanjay Yadav
S00197,Vivaan Mehta,Humanities,B.Sc," Cyber Security,IoT ",3,4,Kavya Patil
S00198,Ananya Babu,Humanities,BBA," Robotics,Cyber Security ",3,8,Kiran Patil
S00199,Vihaan Babu,Civil,B.Sc," English Literature,Data Science ",2,1,Kiran Patil
S00200,Sai Nair,Electrical,M.Tech," Cloud Computing,Entrepreneurship ",4,1,Harish Saxena
S00201,Ira Menon,Management,BBA," Cloud Computing,Econometrics ",2,5,Sneha Kapoor
S00202,Vivaan Kapoor,Computer Science,MBA," Cyber Security,Digital Marketing ",4,5,Ajay Krishnan
S00203,Ishaan Patil,Biotechnology,M.Tech," Environmental Science,AI & ML ",2,3,Divya Yadav
S00204,Vihaan Gupta,Management,BBA," Environmental Science,Cloud Computing ",2,4,Harish Saxena
S00205,Krishna Kulkarni,Computer Science,B.Sc," History,Cloud Computing ",1,4,Kiran Patil
S00206,Navya Saxena,Humanities,MBA," AI & ML,IoT ",1,5,Priya Babu
S00207,Ira Menon,Civil,PhD," Digital Marketing,Entrepreneurship ",4,3,Sneha Joshi
S00208,Ishaan Gupta,Electrical,PhD," AI & ML,Digital Marketing ",1,8,Divya Yadav
S00209,Riya Sharma,Electrical,M.Sc," Data Science,Philosophy ",2,7,Pallavi Kapoor
S00210,Sai Singh,Management,MBA," Philosophy,IoT ",1,6,Kavita Menon
S00211,Ira Desai,Mechanical,PhD," AI & ML,History ",3,1,Sneha Gupta
S00212,Krishna Desai,Management,M.Tech," Data Science,Entrepreneurship ",2,3,Ashok Sharma
S00213,Riya Malhotra,Computer Science,B.Sc," History,Entrepreneurship ",3,1,Sneha Gupta
S00214,Vihaan Kulkarni,Economics,PhD," AI & ML,Cyber Security ",5,4,Sneha Patil
S00215,Ishaan Saxena,Biotechnology,MBA," History,IoT ",3,5,Kavita Gupta
S00216,Sai Krishnan,Computer Science,MBA," Cyber Security,History ",4,2,Swati Sharma
S00217,Reyansh Kulkarni,Biotechnology,B.Tech," AI & ML,Econometrics ",3,7,Sanjay Singh
S00218,Sai Menon,Civil,B.Tech," Econometrics,IoT ",4,3,Manish Mehta
S00219,Myra Mehta,Management,M.Tech," Cyber Security,IoT ",2,4,Rajeev Reddy
S00220,Aditya Malhotra,Computer Science,M.Sc," Robotics,AI & ML ",2,8,Harish Reddy
S00221,Vihaan Krishnan,Mechanical,MBA," AI & ML,History ",3,3,Manish Malhotra
S00222,Aditi Rao,Electrical,BBA," Cyber Security,Psychology ",1,8,Harish Reddy
S00223,Diya Yadav,Computer Science,BBA," Data Science,History ",3,1,Deepak Verma
S00224,Sai Nair,Electrical,M.Tech," Philosophy,IoT ",2,7,Pooja Nair
S00225,Shaurya Patil,Management,B.Tech," Data Science,Philosophy ",4,2,Ajay Saxena
S00226,Shaurya Kapoor,Mechanical,PhD," History,IoT ",5,2,Harish Saxena
S00227,Shaurya Saxena,Computer Science,M.Sc," Cyber Security,Entrepreneurship ",1,8,Priya Babu
S00228,Arjun Menon,Electrical,BBA," Environmental Science,History ",4,1,Deepak Joshi
S00229,Vivaan Nair,Biotechnology,B.Tech," Entrepreneurship,AI & ML ",1,4,Suresh Gupta
S00230,Sai Mehta,Humanities,M.Sc," Philosophy,Cloud Computing ",2,7,Ashok Sharma
S00231,Arjun Nair,Economics,MBA," Econometrics,Cyber Security ",3,3,Manish Mehta
S00232,Sai Gupta,Electrical,M.Tech," Cyber Security,IoT ",1,1,Deepak Joshi
S00233,Sai Malhotra,Humanities,B.Tech," Entrepreneurship,Cyber Security ",2,7,Meera Iyer
S00234,Vivaan Verma,Management,B.Tech," Data Science,Digital Marketing ",4,3,Sudhir Menon
S00235,Sai Singh,Civil,B.Tech," Psychology,Digital Marketing ",2,8,Vivek Verma
S00236,Diya Patil,Electrical,M.Sc," Philosophy,AI & ML ",2,7,Sunita Rao
S00237,Shaurya Mehta,Civil,BBA," Digital Marketing,AI & ML ",3,5,Shilpa Joshi
S00238,Ananya Menon,Computer Science,BBA," AI & ML,Econometrics ",1,1,Ajay Sharma
S00239,Vihaan Singh,Mechanical,B.Sc," Digital Marketing,Data Science ",1,3,Chetan Kapoor
S00240,Diya Verma,Civil,MBA," Cyber Security,Environmental Science ",3,8,Ravi Singh
S00241,Aditi Kulkarni,Mechanical,BBA," Cyber Security,Data Science ",4,2,Rajeev Reddy
S00242,Anika Mehta,Management,PhD," Econometrics,Robotics ",1,9,Sneha Krishnan
S00243,Navya Babu,Biotechnology,BBA," Data Science,Philosophy ",4,3,Ramesh Singh
S00244,Aarohi Rao,Electrical,PhD," Psychology,Econometrics ",1,5,Deepak Desai
S00245,Pari Kulkarni,Humanities,BBA," Philosophy,Digital Marketing ",3,7,Ramesh Reddy
S00246,Myra Nair,Computer Science,PhD," Econometrics,Cyber Security ",1,1,Anita Singh
S00247,Reyansh Verma,Management,PhD," Entrepreneurship,Environmental Science ",4,6,Meenakshi Kulkarni
S00248,Pari Malhotra,Civil,B.Sc," Robotics,AI & ML ",2,3,Priya Babu
S00249,Anika Saxena,Computer Science,B.Sc," History,AI & ML ",2,5,Suresh Kulkarni
S00250,Pari Desai,Civil,B.Tech," AI & ML,Cloud Computing ",3,8,Sudhir Saxena
S00251,Ira Krishnan,Electrical,BBA," Entrepreneurship,Robotics ",1,6,Kavita Menon
S00252,Reyansh Kulkarni,Management,B.Tech," Psychology,Econometrics ",1,5,Vivek Menon
S00253,Navya Mehta,Management,B.Tech," History,Entrepreneurship ",1,3,Sneha Saxena
S00254,Aditi Babu,Biotechnology,M.Sc," Environmental Science,AI & ML ",4,5,Ravi Desai
S00255,Anika Iyer,Mechanical,B.Tech," Econometrics,Cloud Computing ",1,1,Manish Malhotra
S00256,Diya Iyer,Civil,MBA," Entrepreneurship,Cyber Security ",4,2,Sudhir Saxena
S00257,Aditi Kapoor,Humanities,B.Tech," Entrepreneurship,Cyber Security ",2,3,Suresh Gupta
S00258,Sai Mehta,Computer Science,B.Sc," Data Science,Entrepreneurship ",2,2,Vivek Menon
S00259,Ishaan Verma,Biotechnology,B.Tech," IoT,Econometrics ",2,4,Shilpa Joshi
S00260,Ira Desai,Mechanical,B.Sc," Robotics,AI & ML ",3,4,Sunita Mehta
S00261,Reyansh Babu,Biotechnology,BBA," AI & ML,Environmental Science ",1,1,Kiran Patil
S00262,Ananya Babu,Computer Science,PhD," Entrepreneurship,Cloud Computing ",1,2,Kavita Gupta
S00263,Shaurya Rao,Economics,M.Sc," Data Science,IoT ",2,1,Manish Mehta
S00264,Vivaan Kulkarni,Computer Science,B.Tech," Robotics,English Literature ",4,1,Meera Gupta
S00265,Aditi Singh,Economics,PhD," Entrepreneurship,AI & ML ",2,2,Sneha Gupta
S00266,Shaurya Mehta,Civil,B.Sc," Digital Marketing,English Literature ",3,6,Sunita Rao
S00267,Arjun Singh,Mechanical,PhD," Cloud Computing,Digital Marketing ",1,2,Manish Mehta
S00268,Navya Nair,Electrical,B.Sc," Philosophy,AI & ML ",4,1,Deepak Verma
S00269,Sai Menon,Electrical,BBA," AI & ML,Environmental Science ",2,1,Varun Kulkarni
S00270,Pari Sharma,Economics,M.Tech," Cyber Security,Robotics ",3,6,Priya Verma
S00271,Ira Nair,Economics,B.Sc," Entrepreneurship,Cloud Computing ",4,7,Priya Verma
S00272,Riya Krishnan,Mechanical,B.Sc," Environmental Science,AI & ML ",4,3,Sunita Verma
S00273,Aarav Babu,Biotechnology,BBA," History,Data Science ",3,1,Suresh Sharma
S00274,Reyansh Gupta,Electrical,M.Sc," Cyber Security,Econometrics ",3,6,Sanjay Singh
S00275,Krishna Kulkarni,Electrical,MBA," English Literature,History ",4,4,Deepak Desai
S00276,Anika Gupta,Civil,PhD," Environmental Science,IoT ",2,1,Sneha Joshi
S00277,Reyansh Rao,Humanities,B.Sc," History,Entrepreneurship ",1,4,Amit Krishnan
S00278,Anika Singh,Computer Science,B.Sc," Robotics,Environmental Science ",3,8,Monica Yadav
S00279,Sai Desai,Mechanical,BBA," Digital Marketing,IoT ",1,8,Shilpa Yadav
S00280,Aditi Babu,Computer Science,MBA," Environmental Science,English Literature ",1,4,Sneha Kapoor
S00281,Aditya Joshi,Management,PhD," Robotics,IoT ",4,5,Ramesh Singh
S00282,Ira Sharma,Biotechnology,MBA," Cloud Computing,English Literature ",3,3,Meenakshi Verma
S00283,Ananya Rao,Biotechnology,MBA," Cloud Computing,Environmental Science ",4,2,Anjali Patil
S00284,Ishaan Mehta,Management,M.Tech," History,Data Science ",3,6,Anjali Patil
S00285,Sai Verma,Electrical,BBA," Entrepreneurship,Digital Marketing ",2,4,Sunita Mehta
S00286,Reyansh Patil,Electrical,MBA," IoT,Cyber Security ",1,3,Anjali Patil
S00287,Pari Iyer,Mechanical,M.Sc," History,Environmental Science ",4,2,Kiran Patil
